"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","LU","22807","Rhodenizer, William","52.36","Stopwatch",""
"2","LU","33986","Caballero, Malachi","52.47","Stopwatch",""
"3","LU","22806","Delaney, Dillon","52.57","Stopwatch",""
"4","CAL","33283","Werland, Jack","52.72","Stopwatch",""
"5","UCLAS","38106","Fong, AJ","52.76","Stopwatch",""
"6","NCSU","23704","Baldwin, Daniel","52.78","Stopwatch",""
"7","UCSD","31855","Zheng, Tony","53.04","Stopwatch",""
"8","PURD","34538","Sun, Ashton","53.29","Stopwatch",""
"9","UMCS","35820","Gerber, Jeff","53.31","Stopwatch",""
"9","PSU","22127","Owen, Zach","53.31","Stopwatch",""
"11","ISUSC","32960","Behrens, Blake","53.36","Stopwatch",""
"12","FLOR","38213","Traynor, Michael","53.39","Stopwatch",""
"13","PURD","25940","Reese, Kellen","53.44","Stopwatch",""
"14","UNCCH","27510","Roberts, Topher","53.47","Stopwatch",""
"15","CU","16888","Cedergrund, Gus","53.50","Stopwatch",""
"15","DUKE","34876","Pittala, Sritan","53.50","Stopwatch",""
"17","KSSC","26212","Satterfield, Caleb","53.55","Stopwatch",""
"18","CAL","18830","Jamieson, Joaquin","53.61","Stopwatch",""
"19","CSU","35906","Ridosko, Ryan","53.64","Stopwatch",""
"20","W&M","33999","Bowman, Matthew","53.67","Stopwatch",""
"21","UTES","33652","Giuliano, Jadon","53.83","Stopwatch",""
"21","ISC","39539","Pedraza, Adan","53.83","Stopwatch",""
"23","ISC","39546","Rosa, Drew","53.85","Stopwatch",""
"24","NUIL","37080","Carver, Noah","53.94","Stopwatch",""
"25","UVA","34166","Cross, Charlie","53.95","Stopwatch",""
"26","ASU","34691","Robertson, Michael","54.02","Stopwatch",""
"27","PSU","20814","Paulson, Parker","54.06","Stopwatch",""
"28","UCSD","23867","Frauenzimmer, Flip","54.15","Stopwatch",""
"29","SCAR","28066","Jarr, Ethan","54.19","Stopwatch",""
"30","UCONN","22754","Hennessy, Seamus","54.25","Stopwatch",""
"31","UCSD","17336","Fukushima, Mei","54.38","Stopwatch",""
"32","VCU","39214","Liao, Eric","54.45","Stopwatch",""
"33","ISC","37219","Swender, Zach","54.49","Stopwatch",""
"34","PURD","39752","Witty, Andrew","54.55","Stopwatch",""
"35","UVA","35987","Bettis, Will","54.59","Stopwatch",""
"36","UMD","30267","Harada, Jack","54.60","Stopwatch",""
"37","GMUSC","30136","Gervase, Shaun","54.65","Stopwatch",""
"37","SCAR","26649","Wang, Yijie","54.65","Stopwatch",""
"39","TAMPA","28314","Gorman, Dax","54.70","Stopwatch",""
"39","UCLAS","39547","Kircher, Finley","54.70","Stopwatch",""
"41","UVA","14047","Hannam, Emmett","54.76","Stopwatch",""
"42","NDSC","36316","Senese, Matthew","54.79","Stopwatch",""
"43","SBU","29765","Chau, Calvin","54.80","Stopwatch",""
"44","SCGSU","37720","Trocchi, Tyler","54.88","Stopwatch",""
"45","STANF","16997","Palmer, Henry","54.89","Stopwatch",""
"46","FSUC","17735","Marquez, Alexandro","54.90","Stopwatch",""
"47","UCSD","24502","Oquendo, Dylan","54.97","Stopwatch",""
"48","MIZZ","36084","Realina, Raphael","55.01","Stopwatch",""
"49","UCSD","29496","Campbell, Tyler","55.02","Stopwatch",""
"49","CPSC","17158","Cunnan, Calvin","55.02","Stopwatch",""
"51","MIZZ","36216","Krueger, Noah","55.05","Stopwatch",""
"52","CSOSU","38196","Miller, Mason","55.06","Stopwatch",""
"53","UCONN","09974","Anziano, Dominic","55.09","Stopwatch",""
"53","BGCS","38702","Fazio, Dane","55.09","Stopwatch",""
"55","LU","22810","Blackstone, James","55.14","Stopwatch",""
"56","MN","35362","Trinh, Victor","55.17","Stopwatch",""
"57","GTSC","20780","Pianoto, Matthew","55.27","Stopwatch",""
"57","GWCS","16080","Veres, Barney","55.27","Stopwatch",""
"59","GVSU","28642","Gardner, Brandon","55.32","Stopwatch",""
"60","UMCS","28341","Urgo, Michael","55.36","Stopwatch",""
"61","UMD","30014","Badrak, Trent","55.41","Stopwatch",""
"62","MARQ","36414","Smith, Peter","55.42","Stopwatch",""
"63","CLEM","27145","Healy, Chase","55.47","Stopwatch",""
"64","UOFO","31688","Cheng, Brandon","55.51","Stopwatch",""
"64","UMICH","34450","Simkus, Lukas","55.51","Stopwatch",""
"66","SLUSC","17807","Cruise, Conner","55.52","Stopwatch",""
"66","SANTA","24441","Fernandez, Kyle","55.52","Stopwatch",""
"66","UCI","30241","Yang, Alexander","55.52","Stopwatch",""
"69","PURD","28711","Champion, Caleb","55.60","Stopwatch",""
"69","BROWN","25573","Wisialowski, Kyle","55.60","Stopwatch",""
"71","PSU","34846","Cheslock, Carter","55.61","Stopwatch",""
"72","PURD","30156","Thornewell, Danny","55.63","Stopwatch",""
"72","DUKE","30337","Yae, James","55.63","Stopwatch",""
"74","VTECH","27523","Steadman, Spencer","55.65","Stopwatch",""
"75","GTSC","33621","Long, Lucas","55.72","Stopwatch",""
"76","GTSC","34374","Hanks, Joshua","55.76","Stopwatch",""
"77","VTECH","28473","Sleptsov, Alex","55.79","Stopwatch",""
"78","VUSC","26100","Ford, William","55.82","Stopwatch",""
"79","CPSC","17695","Mirel, Kaan","55.87","Stopwatch",""
"80","PURD","35597","Gerzema, Paddy","55.88","Stopwatch",""
"81","CAL","37453","Hsieh, Eugene","55.89","Stopwatch",""
"82","UGAS","33893","Gonzalez, Daniel","55.93","Stopwatch",""
"83","UNCCH","35070","Koo, Raphael","55.94","Stopwatch",""
"83","CPSC","30107","Lopez, Andrew","55.94","Stopwatch",""
"83","PSU","16814","Smith, Matthew","55.94","Stopwatch",""
"86","GCUC","16138","Hoang, Tyler","55.98","Stopwatch",""
"87","WUSTL","35773","Chen, William","56.04","Stopwatch",""
"88","UCCS","26307","Schoelwer, Sean","56.05","Stopwatch",""
"89","NUIL","33197","Kubica, Clement","56.10","Stopwatch",""
"90","UMCS","16069","Doughty, Ben","56.11","Stopwatch",""
"91","LSCUT","37865","Walter, Cam","56.13","Stopwatch",""
"92","UTES","33741","Collins, Steven","56.14","Stopwatch",""
"93","PURD","13702","Kwon, Brian","56.22","Stopwatch",""
"94","VTECH","35764","Lan, Yuanrui","56.23","Stopwatch",""
"95","FLOR","28909","Shirai, Rio","56.24","Stopwatch",""
"96","UMD","22707","Mizui, Shar","56.25","Stopwatch",""
"96","UPENN","23595","Nachod, Ben","56.25","Stopwatch",""
"98","GVSU","39367","Raskay, Kyle","56.29","Stopwatch",""
