"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","CAL","18830","Jamieson, Joaquin","2:03.75","Stopwatch",""
"2","CAL","24508","Mefford, Ben","2:04.99","Stopwatch",""
"3","UVA","14047","Hannam, Emmett","2:07.18","Stopwatch",""
"4","GCUC","16135","Jacobson, Jake","2:07.47","Stopwatch",""
"5","UCFFL","26426","Trujillo, Sebastian","2:07.59","Stopwatch",""
"6","LU","33986","Caballero, Malachi","2:07.78","Stopwatch",""
"7","VCU","39214","Liao, Eric","2:08.60","Stopwatch",""
"8","UVA","34166","Cross, Charlie","2:09.38","Stopwatch",""
"9","NCSU","16738","Fawley, Dylan","2:09.44","Stopwatch",""
"10","OSU","38571","Cornwell-Arquitt, Luke","2:09.74","Stopwatch",""
"11","UMCS","35820","Gerber, Jeff","2:10.56","Stopwatch",""
"12","LU","16277","Suchyj, Tyler","2:10.61","Stopwatch",""
"13","TTUSC","38708","Bray, Zane","2:10.73","Stopwatch",""
"14","CAL","37453","Hsieh, Eugene","2:10.79","Stopwatch",""
"15","UCSD","29496","Campbell, Tyler","2:10.86","Stopwatch",""
"16","UNFCS","30085","Kochmann, Lance","2:10.98","Stopwatch",""
"17","CAL","37547","Cao, Daniel","2:11.00","Stopwatch",""
"18","LU","28831","Long, Byron","2:11.22","Stopwatch",""
"19","PURD","28711","Champion, Caleb","2:11.57","Stopwatch",""
"20","NUIL","29383","Maruszewski, Nikola","2:11.85","Stopwatch",""
"21","ASU","34246","De Guzman, Melvin","2:12.04","Stopwatch",""
"22","STANF","24225","Weis, Matthew","2:12.05","Stopwatch",""
"23","FLOR","23939","Pokatragool, Pete","2:12.08","Stopwatch",""
"24","GTSC","20780","Pianoto, Matthew","2:12.71","Stopwatch",""
"25","UCLAS","38059","Lee, Sam","2:12.91","Stopwatch",""
"25","SCIU","17076","Schlyer, Ryan","2:12.91","Stopwatch",""
"27","CLT","34665","Tang, Rocky","2:12.98","Stopwatch",""
"28","ECS","26773","Lancellotti, Mason","2:13.37","Stopwatch",""
"29","UCONN","09974","Anziano, Dominic","2:13.68","Stopwatch",""
"30","NEAST","25527","Yu, Xavier","2:13.70","Stopwatch",""
"31","LU","08525","Helsby, Carter","2:13.74","Stopwatch",""
"32","GVSU","28642","Gardner, Brandon","2:14.57","Stopwatch",""
"33","AUB","34302","Vogt, Jacob","2:14.77","Stopwatch",""
"34","PURD","30156","Thornewell, Danny","2:14.96","Stopwatch",""
"35","DUKE","34988","Song, Ethan","2:15.21","Stopwatch",""
"36","UTES","20675","Savinovich, Luke","2:15.47","Stopwatch",""
"37","MIZZ","36084","Realina, Raphael","2:15.84","Stopwatch",""
"38","GTSC","13920","Donahoe, John","2:15.92","Stopwatch",""
"39","PURD","28708","Liu, Allan","2:16.35","Stopwatch",""
"40","DUCS","29387","Poag, Jack","2:16.56","Stopwatch",""
"41","FSUC","18212","Rosal, Gareth","2:16.97","Stopwatch",""
"42","CAL","37585","Wu, Dylan","2:17.09","Stopwatch",""
"43","PURD","28757","Perri, Roman","2:17.34","Stopwatch",""
"44","CSOSU","21336","Deerwester, Mason","2:17.42","Stopwatch",""
"45","USFB","35965","Mitchell, Benjamin","2:17.51","Stopwatch",""
"46","NCSU","14546","McDevitt, Liam","2:17.64","Stopwatch",""
"47","DUCS","24914","Heisman, Andrew","2:17.81","Stopwatch",""
"48","GCUC","32940","Marsalek, Asa","2:17.95","Stopwatch",""
"49","GCUC","35064","Pool, Maddox","2:17.97","Stopwatch",""
"50","UCSD","24502","Oquendo, Dylan","2:18.04","Stopwatch",""
"51","NDSC","37584","Schaars, Kevin","2:18.19","Stopwatch",""
"52","CSOSU","35551","Cardwell, Jackson","2:18.36","Stopwatch",""
"53","PITT","21134","Vacula, Trent","2:18.53","Stopwatch",""
"54","ASU","34235","Stevens, Ryder","2:18.59","Stopwatch",""
"55","PURD","13702","Kwon, Brian","2:18.62","Stopwatch",""
"56","CU","20506","Kubina, Mitchell","2:18.71","Stopwatch",""
"56","DUKE","15717","Simmons, Charlie","2:18.71","Stopwatch",""
"58","SCGSU","37720","Trocchi, Tyler","2:18.75","Stopwatch",""
"59","UPENN","38574","Liu, Mason","2:18.85","Stopwatch",""
"60","UOFO","17497","Southall, Luke","2:18.94","Stopwatch",""
"61","CAL","29878","Roberts, Daniel","2:18.97","Stopwatch",""
"62","FSUC","34767","Feller, Curtis","2:19.06","Stopwatch",""
"63","GMUSC","18840","Higgins, Timothy","2:19.18","Stopwatch",""
"64","NEAST","18455","Tang, Erik","2:19.20","Stopwatch",""
"65","NDSC","36316","Senese, Matthew","2:19.24","Stopwatch",""
"66","UKCS","35042","Taylor, Trent","2:19.26","Stopwatch",""
"67","LU","29680","Stubbs, Kierro","2:19.37","Stopwatch",""
"68","SCUW","13803","Bohachek, Ian","2:19.38","Stopwatch",""
"69","ISUSC","23603","Copple, Carson","2:19.40","Stopwatch",""
"70","ECS","36446","He, Kenneth","2:19.42","Stopwatch",""
"71","LUSC","37955","Babka, Alex","2:19.52","Stopwatch",""
"72","ASU","24119","Guidry, Jordan","2:19.56","Stopwatch",""
"73","UNCCH","22090","Wilson, Lucas","2:19.57","Stopwatch",""
