"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","LU","33984","Williams, Xander","1:51.39","Stopwatch",""
"2","ASU","34956","Batchelor, Hugo","1:51.89","Stopwatch",""
"3","GTSC","33709","Long, Liam","1:52.15","Stopwatch",""
"4","FSUC","36966","Szabo, Marcus","1:52.95","Stopwatch",""
"5","UCSD","29544","Ben Yoseph, Itay","1:55.19","Stopwatch",""
"6","UMD","34712","Liang, Kai","1:55.36","Stopwatch",""
"7","UWSC","37692","Zelenkov, George","1:55.62","Stopwatch",""
"8","CPSC","29759","Tallman, Gavin","1:55.66","Stopwatch",""
"9","FSUC","20933","White, Aidan","1:55.81","Stopwatch",""
"10","CPSC","24632","Flesner, Nathan","1:55.88","Stopwatch",""
"11","ISC","29782","Philipov, Daniel","1:56.14","Stopwatch",""
"12","LU","33987","Ruble, Grant","1:56.54","Stopwatch",""
"13","LU","22820","Black, Jonah","1:56.55","Stopwatch",""
"14","PURD","35575","Lee, Matthew","1:56.63","Stopwatch",""
"15","CPSC","27613","Olson, Joshua","1:57.09","Stopwatch",""
"16","UTES","26543","Eyre, Chandler","1:57.15","Stopwatch",""
"17","UTES","34248","Abla Rossetti, Joao Pedro","1:57.35","Stopwatch",""
"18","UCI","29998","Lau, Eric","1:57.42","Stopwatch",""
"19","UGAS","13597","Renier, Luke","1:57.62","Stopwatch",""
"20","PURD","35522","Alleman, Jack","1:58.25","Stopwatch",""
"21","LU","28827","Walter, Aiden","1:58.33","Stopwatch",""
"22","LU","33990","Hall, Aaron","1:58.34","Stopwatch",""
"23","LSCUT","33520","Han, Kevin","1:58.35","Stopwatch",""
"24","ASU","24239","Griley, Kai","1:59.10","Stopwatch",""
"25","UMCS","16223","Katz, Elan","1:59.51","Stopwatch",""
"26","LU","28808","Grabinski, Timothy","1:59.53","Stopwatch",""
"27","FLOR","28909","Shirai, Rio","2:00.17","Stopwatch",""
"28","GTSC","35284","Slater, Landon","2:00.49","Stopwatch",""
"29","BROWN","25573","Wisialowski, Kyle","2:00.60","Stopwatch",""
"30","NDSC","36347","Hann, Gus","2:00.83","Stopwatch",""
"31","NDSC","24495","Burke, Brandon","2:00.87","Stopwatch",""
"32","GTSC","26294","Skidmore, William","2:00.92","Stopwatch",""
"33","UVA","34057","Armitage, Kyle","2:00.95","Stopwatch",""
"34","STANF","29981","Rosenberg, Bennett","2:01.07","Stopwatch",""
"35","UVA","34034","Janicki, Matthew","2:01.12","Stopwatch",""
"36","CSOSU","34925","Emerman, Josh","2:01.26","Stopwatch",""
"37","UMD","33853","Karcheuski, Daniel","2:01.73","Stopwatch",""
"38","PURD","13683","Kukreja, Yatin","2:01.78","Stopwatch",""
"39","VTECH","28473","Sleptsov, Alex","2:01.98","Stopwatch",""
"40","UKSC","36072","Bonnell, Dawson","2:02.12","Stopwatch",""
"41","TAMCS","26610","Thomas, Nathaniel","2:02.15","Stopwatch",""
"42","UVA","26373","Devost, John","2:02.30","Stopwatch",""
"43","STANF","16996","Kohn, Kenneth","2:02.63","Stopwatch",""
"44","PSU","32207","Kim, Eric","2:03.07","Stopwatch",""
"45","MIZZ","39073","Amaravadi, Asrith","2:03.80","Stopwatch",""
"46","UCSD","22920","Wong, Andrew","2:04.26","Stopwatch",""
"47","PURD","28752","VanMatre, Landon","2:04.41","Stopwatch",""
"48","CLT","34665","Tang, Rocky","2:04.44","Stopwatch",""
"49","CPSC","22695","Lee, Aaron","2:04.53","Stopwatch",""
"50","LU","28825","Rice, Carter","2:04.76","Stopwatch",""
"51","UDSC","21360","Jones, Ryan","2:04.81","Stopwatch",""
"52","CU","36997","Bocci, Sergio","2:04.85","Stopwatch",""
"53","GTSC","34545","Mackay, Nolan","2:05.05","Stopwatch",""
"54","CLARE","38475","Okada, Kazuma","2:05.57","Stopwatch",""
"55","TAMCS","20609","Davis, Thomas","2:05.81","Stopwatch",""
"56","ISC","29853","McNally, Michael","2:05.87","Stopwatch",""
"57","PURD","35614","Kajarekar, Saahil","2:06.11","Stopwatch",""
"58","TAMCS","20563","Arnold, Logan","2:06.43","Stopwatch",""
"59","PURD","28707","Rasmussen, Sven","2:06.49","Stopwatch",""
"60","UPENN","29647","Lee, Aaron","2:06.67","Stopwatch",""
"61","UCSD","36565","Wright, Lucas","2:06.84","Stopwatch",""
