"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","VUSC","39504","Maas, Kyle","1:51.13","Stopwatch",""
"2","GTSC","33709","Long, Liam","1:51.25","Stopwatch",""
"3","LU","33986","Caballero, Malachi","1:53.58","Stopwatch",""
"4","UVA","14047","Hannam, Emmett","1:53.67","Stopwatch",""
"5","CMU","18378","Webster, Luke","1:53.99","Stopwatch",""
"6","CAL","33283","Werland, Jack","1:54.77","Stopwatch",""
"7","FLOR","38213","Traynor, Michael","1:55.30","Stopwatch",""
"8","LU","33991","Rees, Jonah","1:55.37","Stopwatch",""
"9","LU","22806","Delaney, Dillon","1:55.66","Stopwatch",""
"10","CSU","35906","Ridosko, Ryan","1:56.04","Stopwatch",""
"11","W&M","33999","Bowman, Matthew","1:56.18","Stopwatch",""
"12","LU","28831","Long, Byron","1:58.18","Stopwatch",""
"13","UNCCH","27510","Roberts, Topher","1:58.57","Stopwatch",""
"14","CU","16888","Cedergrund, Gus","1:58.64","Stopwatch",""
"15","UNFCS","30085","Kochmann, Lance","1:59.18","Stopwatch",""
"16","ISUSC","36930","Reiff, Theo","1:59.29","Stopwatch",""
"17","UCLAS","38059","Lee, Sam","1:59.47","Stopwatch",""
"18","OSU","38571","Cornwell-Arquitt, Luke","1:59.51","Stopwatch",""
"19","TTUSC","38708","Bray, Zane","1:59.54","Stopwatch",""
"19","CSOSU","20822","Randolph, Graham","1:59.54","Stopwatch",""
"21","DUKE","34876","Pittala, Sritan","1:59.56","Stopwatch",""
"21","LU","16277","Suchyj, Tyler","1:59.56","Stopwatch",""
"23","UWSC","37692","Zelenkov, George","1:59.61","Stopwatch",""
"24","UTES","34248","Abla Rossetti, Joao Pedro","1:59.72","Stopwatch",""
"25","NUIL","29383","Maruszewski, Nikola","1:59.84","Stopwatch",""
"25","UCFFL","26426","Trujillo, Sebastian","1:59.84","Stopwatch",""
"27","FSUC","17735","Marquez, Alexandro","1:59.93","Stopwatch",""
"28","CPSC","30088","Capra, Jack","2:00.17","Stopwatch",""
"29","PURD","28711","Champion, Caleb","2:00.33","Stopwatch",""
"30","GMUSC","30136","Gervase, Shaun","2:00.35","Stopwatch",""
"31","CPSC","17695","Mirel, Kaan","2:00.43","Stopwatch",""
"32","UCLAS","39547","Kircher, Finley","2:00.54","Stopwatch",""
"33","UVA","34093","Farnham, Max","2:00.76","Stopwatch",""
"34","ISC","37219","Swender, Zach","2:00.83","Stopwatch",""
"35","UTD","38626","Ju, Ryan","2:01.04","Stopwatch",""
"36","GTSC","20780","Pianoto, Matthew","2:01.28","Stopwatch",""
"37","CU","20638","MacPherson, Quinn","2:01.58","Stopwatch",""
"38","MSUSC","32038","O'Neill, Owen","2:01.72","Stopwatch",""
"39","SCUW","34779","Codevilla, Stephen","2:01.86","Stopwatch",""
"40","CU","16790","Misener, Jay","2:01.89","Stopwatch",""
"41","TAMCS","20563","Arnold, Logan","2:02.17","Stopwatch",""
"42","TAMCS","39347","Eichel, Isaiah","2:02.23","Stopwatch",""
"43","GTSC","35284","Slater, Landon","2:02.25","Stopwatch",""
"44","GCUC","16138","Hoang, Tyler","2:02.27","Stopwatch",""
"45","UGAS","13597","Renier, Luke","2:02.37","Stopwatch",""
"46","MOFO","35210","Gross, Will","2:02.47","Stopwatch",""
"47","BGCS","20995","Jipping, Andrew","2:02.57","Stopwatch",""
"48","CPSC","30107","Lopez, Andrew","2:02.58","Stopwatch",""
"49","CSOSU","20148","Dresbach, Eli","2:02.60","Stopwatch",""
"50","UPENN","36996","Murray, Ethan","2:02.70","Stopwatch",""
"51","UVA","34058","Schiffman, Parker","2:02.72","Stopwatch",""
"52","PURD","35798","Hovyadinov, Nikita","2:03.03","Stopwatch",""
"53","UCI","30241","Yang, Alexander","2:03.10","Stopwatch",""
"54","TAMCS","14373","Jeffery, Andrew","2:03.13","Stopwatch",""
"55","PURD","30156","Thornewell, Danny","2:03.15","Stopwatch",""
"56","FLOR","28909","Shirai, Rio","2:03.35","Stopwatch",""
"57","UCFFL","25176","Christensen, Brandon","2:03.40","Stopwatch",""
"58","AZCS","39444","Herrera, Jake","2:03.41","Stopwatch",""
"59","ASU","34235","Stevens, Ryder","2:03.43","Stopwatch",""
"60","UMD","30267","Harada, Jack","2:03.45","Stopwatch",""
"61","GTSC","33612","Rohovit, Hunter","2:03.51","Stopwatch",""
"62","ASU","24239","Griley, Kai","2:03.85","Stopwatch",""
"63","SANTA","24441","Fernandez, Kyle","2:04.11","Stopwatch",""
"64","UCSD","17336","Fukushima, Mei","2:04.19","Stopwatch",""
"65","W&M","29598","Fecko, Logan","2:04.34","Stopwatch",""
"66","PSU","16814","Smith, Matthew","2:04.39","Stopwatch",""
"67","ISC","29788","Wetherill, Mitchell","2:04.45","Stopwatch",""
"68","GTSC","13920","Donahoe, John","2:04.46","Stopwatch",""
"69","DUKE","15717","Simmons, Charlie","2:04.51","Stopwatch",""
"70","VTECH","28473","Sleptsov, Alex","2:04.56","Stopwatch",""
"71","UVA","14157","Stevens, Will","2:04.62","Stopwatch",""
"72","SCUW","37096","Ahl-Hinson, Finn","2:04.84","Stopwatch",""
"73","UOFO","24564","Eskola, Petey","2:04.90","Stopwatch",""
"74","UCR","33354","Tomasello, Jonathan","2:04.95","Stopwatch",""
"75","GTSC","33621","Long, Lucas","2:04.99","Stopwatch",""
"76","FSUC","18212","Rosal, Gareth","2:05.02","Stopwatch",""
"77","CLARE","38475","Okada, Kazuma","2:05.09","Stopwatch",""
"78","VTECH","14564","Rosenhein, Drew","2:05.13","Stopwatch",""
"79","UKSC","36072","Bonnell, Dawson","2:05.15","Stopwatch",""
"80","CU","36756","Choroser, Dennis","2:05.18","Stopwatch",""
"80","GTSC","21101","Smith, Benjamin","2:05.18","Stopwatch",""
"82","SCUW","21750","Dehnke, AJ","2:05.29","Stopwatch",""
"83","PURD","21574","Kodial, Aryan","2:05.31","Stopwatch",""
"84","UNCW","35294","Ivan, David","2:05.33","Stopwatch",""
