"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","ASU","34956","Batchelor, Hugo","4:00.92","Stopwatch",""
"2","LU","33991","Rees, Jonah","4:05.10","Stopwatch",""
"3","LU","28831","Long, Byron","4:06.30","Stopwatch",""
"4","LU","28809","Hill, Thomas","4:07.83","Stopwatch",""
"5","OSU","38571","Cornwell-Arquitt, Luke","4:12.24","Stopwatch",""
"6","GTSC","19426","Altera, Ryan","4:13.42","Stopwatch",""
"7","TAMCS","39347","Eichel, Isaiah","4:15.72","Stopwatch",""
"8","TAMCS","33975","Picco, Adam","4:18.35","Stopwatch",""
"9","TAMCS","14373","Jeffery, Andrew","4:18.54","Stopwatch",""
"10","UVA","34093","Farnham, Max","4:18.85","Stopwatch",""
"11","UVA","34058","Schiffman, Parker","4:19.38","Stopwatch",""
"12","PURD","21562","Tucci, Tyson","4:20.45","Stopwatch",""
"13","UCLAS","39547","Kircher, Finley","4:20.83","Stopwatch",""
"14","LU","28825","Rice, Carter","4:21.78","Stopwatch",""
"15","CMU","26001","Teutsch, Steffen","4:21.80","Stopwatch",""
"16","LU","22819","Bizeau, Benjamin","4:22.16","Stopwatch",""
"17","UVA","26373","Devost, John","4:23.57","Stopwatch",""
"18","UVA","20042","Homan, Jaden","4:24.41","Stopwatch",""
"19","PURD","35597","Gerzema, Paddy","4:24.50","Stopwatch",""
"20","PURD","35669","Lanning, Mason","4:24.64","Stopwatch",""
"21","CU","20638","MacPherson, Quinn","4:24.81","Stopwatch",""
"22","UTES","33652","Giuliano, Jadon","4:25.75","Stopwatch",""
"23","CPSC","30088","Capra, Jack","4:26.07","Stopwatch",""
"24","FLOR","28909","Shirai, Rio","4:26.71","Stopwatch",""
"25","W&M","29598","Fecko, Logan","4:27.42","Stopwatch",""
"26","MOFO","35310","Sheeran, Liam","4:27.80","Stopwatch",""
"27","FSUC","27326","Kinter, Nathan","4:27.91","Stopwatch",""
"28","UMD","33881","Kosiorowski, Devin","4:28.12","Stopwatch",""
"29","LU","16277","Suchyj, Tyler","4:28.62","Stopwatch",""
"30","DUKE","15717","Simmons, Charlie","4:29.17","Stopwatch",""
"31","CU","16790","Misener, Jay","4:29.47","Stopwatch",""
"32","PURD","28715","Srnic, Milan","4:30.11","Stopwatch",""
"33","GTSC","33612","Rohovit, Hunter","4:30.42","Stopwatch",""
"34","SCUW","38605","Dorn, Noah","4:31.73","Stopwatch",""
"35","CPSC","31820","Stanford, Cole","4:32.19","Stopwatch",""
"36","GCUC","32940","Marsalek, Asa","4:32.63","Stopwatch",""
"37","UCCS","34611","Hooper, Thomas","4:32.64","Stopwatch",""
"38","CLEM","28238","Abrams, Jack","4:32.88","Stopwatch",""
"39","CU","27839","Marr, Tate","4:33.36","Stopwatch",""
"40","CLARE","38475","Okada, Kazuma","4:33.44","Stopwatch",""
"41","NDSC","27774","Patchin, DJ","4:33.68","Stopwatch",""
"42","ISC","35986","Svob, Joshua","4:34.23","Stopwatch",""
"43","UVA","14157","Stevens, Will","4:34.46","Stopwatch",""
"44","UKCS","35042","Taylor, Trent","4:34.50","Stopwatch",""
"45","UMD","39411","Krol, Christopher","4:34.70","Stopwatch",""
"46","MIZZ","37491","Woodruff, Johnny","4:35.84","Stopwatch",""
"47","PURD","35526","Hew, Jeffrey","4:36.88","Stopwatch",""
