"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","AZCS","32016","Grandpre, Preston","20.02","Stopwatch",""
"2","LU","22814","Phillipps, Maximus","20.66","Stopwatch",""
"3","WVAU","27723","Howe, Jacob","20.72","Stopwatch",""
"4","LU","08522","Davidson, Matthew","20.75","Stopwatch",""
"5","UCSD","24921","Lee, Ryan","20.89","Stopwatch",""
"6","LU","22807","Rhodenizer, William","20.92","Stopwatch",""
"7","GTSC","14039","White, James","20.98","Stopwatch",""
"8","GCUC","35068","Duarte, Trypp","21.00","Stopwatch",""
"9","DUKE","37800","Lee, Ryan","21.04","Stopwatch",""
"10","CSOSU","39045","Guthrie, Peter","21.09","Stopwatch",""
"11","NCSU","22825","Neumann, Asher","21.14","Stopwatch",""
"11","CU","26780","Nordgren, Jason","21.14","Stopwatch",""
"11","PURD","13301","Wang, Bebe","21.14","Stopwatch",""
"14","LU","22809","Brown, Whittman","21.17","Stopwatch",""
"15","SCU","18021","Gustin, Daniel","21.18","Stopwatch",""
"15","ASU","17849","Miller, Paul","21.18","Stopwatch",""
"15","MN","35362","Trinh, Victor","21.18","Stopwatch",""
"18","SCU","35389","Vattuone, Ryan","21.19","Stopwatch",""
"19","UVA","35987","Bettis, Will","21.21","Stopwatch",""
"20","UCSD","31855","Zheng, Tony","21.23","Stopwatch",""
"21","MIZZ","25943","VanderSchee, Jared","21.24","Stopwatch",""
"22","GVSU","39367","Raskay, Kyle","21.25","Stopwatch",""
"23","CORN","37894","Schedler, Brock","21.28","Stopwatch",""
"24","UCSD","37898","Duong, Kenneth","21.29","Stopwatch",""
"25","UNCW","29752","Cloutier, Briggs","21.30","Stopwatch",""
"26","GTSC","20699","Lister, Patrick","21.34","Stopwatch",""
"27","ASU","28891","Hunter, Josh","21.39","Stopwatch",""
"27","FLOR","23939","Pokatragool, Pete","21.39","Stopwatch",""
"29","CU","37791","Iwers, John","21.44","Stopwatch",""
"30","PURD","35604","Tandon, Raghav","21.55","Stopwatch",""
"30","UGAS","20135","Wang, Daniel","21.55","Stopwatch",""
"32","WMU","20705","Simoncini, Leonardo","21.57","Stopwatch",""
"33","UGAS","33893","Gonzalez, Daniel","21.60","Stopwatch",""
"33","FPUSC","33698","Johnson, Reid","21.60","Stopwatch",""
"35","MSUSC","36494","Davis, Issac","21.62","Stopwatch",""
"36","UMD","30014","Badrak, Trent","21.63","Stopwatch",""
"36","LU","33985","Spade, Gage","21.63","Stopwatch",""
"38","UTK","38401","Chan, Connor","21.65","Stopwatch",""
"39","YALE","38136","Fan, Francis","21.66","Stopwatch",""
"39","BROWN","25732","Joseph, Julian","21.66","Stopwatch",""
"39","CU","20692","Wielgus, Daniel","21.66","Stopwatch",""
"42","FSUC","27328","Gransee, Kyle","21.67","Stopwatch",""
"43","CSOSU","34814","Gaier, Aiden","21.68","Stopwatch",""
"43","LSCUT","33379","Whann, Campbell","21.68","Stopwatch",""
"45","FSUC","39453","Kvashchuk, Mykhailo","21.70","Stopwatch",""
"46","UMICH","26941","Klug, Nick","21.71","Stopwatch",""
"47","UGAS","39150","Collett, Owen","21.73","Stopwatch",""
"48","WVAU","35391","Bennett, Ian","21.76","Stopwatch",""
"49","UMCS","28341","Urgo, Michael","21.77","Stopwatch",""
"50","UALA","39142","Dillon, Chase","21.78","Stopwatch",""
"51","ASU","21462","Johnson, Luke","21.80","Stopwatch",""
"51","ASU","34691","Robertson, Michael","21.80","Stopwatch",""
"53","UCLAS","24943","Kiryukhin, Artem","21.81","Stopwatch",""
"54","MARQ","37402","Dankert, Ben","21.83","Stopwatch",""
"55","CSOSU","35139","Foy, Kearney","21.84","Stopwatch",""
"56","NAUCS","25536","Pollock, Xander","21.85","Stopwatch",""
"57","PURD","28846","Foucu, Matthieu","21.86","Stopwatch",""
"57","UCONN","22754","Hennessy, Seamus","21.86","Stopwatch",""
"57","UVA","34089","Ooi, Ethan","21.86","Stopwatch",""
"60","FSUC","34899","Seward, Lawson","21.87","Stopwatch",""
"61","CSOSU","39426","Owusu, Aaron","21.88","Stopwatch",""
"62","SCU","18020","Tu, Will","21.89","Stopwatch",""
"63","ASU","34602","Roth, Tucker","21.90","Stopwatch",""
"63","CSOSU","26506","Van Cott, Josh","21.90","Stopwatch",""
"65","CU","16809","Aparicio, Drew","21.92","Stopwatch",""
"65","ASU","34195","Hogan, Alex","21.92","Stopwatch",""
"65","FLOR","37350","Kuliyev, Maxim","21.92","Stopwatch",""
"68","VCS","16621","Lavin, Michael","21.94","Stopwatch",""
"68","CSOSU","38196","Miller, Mason","21.94","Stopwatch",""
"70","UGAS","34125","Meeks, Charlie","21.95","Stopwatch",""
"71","NUIL","37080","Carver, Noah","21.96","Stopwatch",""
"71","SCU","32087","Sterrett, Noah","21.96","Stopwatch",""
"73","CPSC","17236","Stoen, Tyler","21.97","Stopwatch",""
"74","NDSC","36322","Chang, Jonathan","21.98","Stopwatch",""
"74","ASU","34704","Girle, Matthew","21.98","Stopwatch",""
"74","JMU","33736","Tiller, Grant","21.98","Stopwatch",""
"74","VTECH","35688","Young, Hatcher","21.98","Stopwatch",""
"78","PITT","35492","Zang, Eric","21.99","Stopwatch",""
"79","GTSC","34374","Hanks, Joshua","22.00","Stopwatch",""
"79","UGAS","26913","Teal, Nathan","22.00","Stopwatch",""
"81","ASU","34833","Leatherwood, Kieran","22.01","Stopwatch",""
"81","UNCCH","27510","Roberts, Topher","22.01","Stopwatch",""
"81","CLT","34657","White, Ethan","22.01","Stopwatch",""
"84","UMD","30574","Parhi, Tanush","22.02","Stopwatch",""
"85","CMU","26001","Teutsch, Steffen","22.03","Stopwatch",""
"86","TAMCS","35414","DeGhetto, Jake","22.04","Stopwatch",""
"86","PSU","39230","Vinnikov, Matthew","22.04","Stopwatch",""
"88","MARQ","37783","Frank, Gabriel","22.08","Stopwatch",""
"89","CLEM","27173","Gabriele, Noah","22.09","Stopwatch",""
"89","PURD","25940","Reese, Kellen","22.09","Stopwatch",""
"91","LSCUT","37544","Brenes-Quesada, Javier","22.11","Stopwatch",""
"91","FSUC","17739","Laurie, Aiden","22.11","Stopwatch",""
"93","VTECH","27534","Conaton, William","22.12","Stopwatch",""
"94","PURD","13729","Field, Hunter","22.13","Stopwatch",""
"94","LU","28807","Grabinski, Thomas","22.13","Stopwatch",""
"96","VTECH","14564","Rosenhein, Drew","22.14","Stopwatch",""
"96","ISC","36050","Zhao, Edward","22.14","Stopwatch",""
"98","SCAR","28066","Jarr, Ethan","22.15","Stopwatch",""
"98","MOFO","23090","McGovern, Owen","22.15","Stopwatch",""
"98","PSU","19484","Murtha, Ryan","22.15","Stopwatch",""
"98","MIZZ","36130","Plautz, Liam","22.15","Stopwatch",""
"102","CU","16891","Allred, Joseph","22.18","Stopwatch",""
