"Rank","Club","CCS ID","Swimmer","Seed 													 														Time","Data Source","Finals 													 													Pl"
"1","CU","27822","Baca, Emma","4:36.53","Stopwatch",""
"2","UMICH","25911","Blake, Katherine","4:44.32","Stopwatch",""
"3","UCLAS","24925","Nagel, Erin","4:50.85","Stopwatch",""
"4","NCSU","27282","Miller, Rita","4:54.86","Stopwatch",""
"5","UVA","16527","Jordan, Kathryn","4:56.40","Stopwatch",""
"6","CSU","27824","Fogle, Sophi","4:57.70","Stopwatch",""
"7","UKCS","29816","Quinn, Riley","4:59.24","Stopwatch",""
"8","CU","26790","Granley, Lillian","4:59.51","Stopwatch",""
"9","CSOSU","13903","Lichtner, Kasey","4:59.81","Stopwatch",""
"10","NEAST","18452","Rodriguez, Nicole","4:59.82","Stopwatch",""
"11","ISUSC","36955","Ostermeier, Lori","5:00.12","Stopwatch",""
"12","DUKE","29670","DiSalvo, Abigail","5:01.18","Stopwatch",""
"13","GTSC","35056","Spaulding, Alice","5:04.24","Stopwatch",""
"14","STANF","31903","Deale, Morgan","5:04.28","Stopwatch",""
"15","UCSD","36791","Graves, Jennifer","5:04.72","Stopwatch",""
"16","PURD","35536","Fischer, Kayla","5:04.87","Stopwatch",""
"17","OSU","33536","Curran, Sofie","5:07.17","Stopwatch",""
"18","UGAS","20727","Mesihovic, Sara","5:07.28","Stopwatch",""
"19","UCS","34387","Kelleher, Hannah","5:08.06","Stopwatch",""
"20","GTSC","20503","Allibone, Jessica","5:08.33","Stopwatch",""
"21","UGAS","27041","Fannin, Mattie","5:09.67","Stopwatch",""
"22","GTSC","13775","Plantamura, Natalie","5:10.85","Stopwatch",""
"23","TULSC","36595","Caress, Lula","5:11.02","Stopwatch",""
"24","UVA","20037","Kaplan, Sophie","5:11.32","Stopwatch",""
"25","SLUSC","24533","Dorsey, Molly","5:11.84","Stopwatch",""
"26","UVA","34054","Iniguez, Annalise","5:12.16","Stopwatch",""
"27","ASU","34294","Angelo, Lanie","5:12.23","Stopwatch",""
"28","GTSC","14592","Yie, Emiley","5:12.28","Stopwatch",""
"29","SLUSC","35590","Schussler, Lily","5:12.54","Stopwatch",""
"30","CAL","29807","Albrecht, Samantha","5:12.65","Stopwatch",""
"31","W&M","33214","Strudgeon, Morgan","5:13.05","Stopwatch",""
"32","CMU","20566","Heydt, Anna","5:13.57","Stopwatch",""
"33","UVA","20398","Anderson, Chloe","5:13.63","Stopwatch",""
"34","WUSTL","34394","Guthrie, Sydney","5:13.71","Stopwatch",""
"35","DUKE","15839","Potter, Laurin","5:13.81","Stopwatch",""
"36","UVA","14282","West, Josie","5:15.14","Stopwatch",""
"37","GTSC","33861","Wang, Mingqi","5:15.32","Stopwatch",""
"38","NSUSC","35044","Avila Escobar, Camila","5:15.86","Stopwatch",""
"39","SCIU","35811","Baumgardner, Lily","5:16.83","Stopwatch",""
"40","CAL","31931","Shaps, Ellie","5:17.03","Stopwatch",""
"41","UMICH","28645","Luo, Michelle","5:17.98","Stopwatch",""
"42","BGCS","34937","Stechschulte, Isabella","5:18.13","Stopwatch",""
"43","NDSC","22507","Anderson, Mary Claire","5:18.25","Stopwatch",""
"44","SLUSC","28782","Seeling, Luca","5:18.29","Stopwatch",""
"45","MOFO","34907","Glor, Paige","5:18.87","Stopwatch",""
"46","GMUSC","29947","Peterson, Maya","5:19.52","Stopwatch",""
"47","NEAST","23671","Rossi, Elena","5:20.23","Stopwatch",""
"48","ASU","34830","Hewage, Sayuri","5:21.00","Stopwatch",""
"49","AZCS","39710","Jackson, Jessica","5:21.24","Stopwatch",""
"50","CU","16883","Montie, Sophia","5:21.39","Stopwatch",""
"51","UTES","34684","Bringard, Beca","5:21.51","Stopwatch",""
"52","CMU","35883","Walker, Meagan","5:22.51","Stopwatch",""
"53","ASU","35298","Michals, Samantha","5:22.62","Stopwatch",""
"54","CU","33982","Stiles, Mansi","5:22.75","Stopwatch",""
"55","UNCCH","37767","VanderBroek, Allie","5:23.71","Stopwatch",""
"56","UTES","27367","Perry, Jillian","5:24.70","Stopwatch",""
"57","PSU","26777","Verrelli, Lauren","5:24.88","Stopwatch",""
"58","MIZZ","36092","Loving, Kate","5:25.90","Stopwatch",""
"59","OSU","38512","Landis, Kaitlyn","5:26.03","Stopwatch",""
"59","WMU","31709","Naser, Jade","5:26.03","Stopwatch",""
"61","CU","35985","Walsh, Eowyn","5:26.34","Stopwatch",""
"62","CWRU","37574","Hsu, Emily","5:28.04","Stopwatch",""
"63","JMU","25743","Smith, Emma","5:28.73","Stopwatch",""
"64","ASU","28796","Hoff, Evie","5:28.85","Stopwatch",""
"65","CMU","33839","Sims, Madeline","5:29.23","Stopwatch",""
"66","NDSC","16780","Sherman, Kathryn","5:29.40","Stopwatch",""
"67","WUSTL","35051","Espinel, Lani","5:30.16","Stopwatch",""
"68","NEAST","20374","Sadowski, Ada","5:30.18","Stopwatch",""
